dataset,multiclass,smoke,n_full,n_used,subsampled,split_type,seed,k,model,accuracy,auroc,f1,n_train,n_test,pos_frac_train,pos_frac_test,target_test_frac
human_enhancers_ensembl,False,False,154842,20000,True,random,1,6,RF,0.728,0.8015803749999999,0.7306930693069307,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,2,4,LR,0.71825,0.78369275,0.7209705372616985,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,2,4,RF,0.70825,0.7764426249999998,0.7136196319018405,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,2,6,LR,0.75075,0.82801275,0.753034431508546,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,2,6,RF,0.717,0.792241875,0.7210448496796451,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,0,4,LR,0.7088227943014247,0.7750329835082459,0.7131248460970204,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,0,4,RF,0.6905773556610847,0.7558479510244878,0.6908091908091908,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,0,6,LR,0.7555611097225694,0.8310734632683658,0.7609970674486803,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,0,6,RF,0.7073231692076981,0.7712582458770614,0.7077614175193412,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,1,4,LR,0.7173206698325418,0.7851971514242878,0.7164702933065932,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,1,4,RF,0.6933266683329168,0.7585071214392805,0.689445709946849,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,1,6,LR,0.7433141714571357,0.8220423538230884,0.742671009771987,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,1,6,RF,0.7038240439890028,0.7745457271364318,0.7005307050796058,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,2,4,LR,0.720319920019995,0.7925698400799601,0.7194785660566558,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,2,4,RF,0.6975756060984754,0.7646944027986007,0.6936708860759494,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,2,6,LR,0.759810047488128,0.8337768615692155,0.7606475716064757,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.5,2,6,RF,0.7120719820044988,0.7778127186406796,0.7079107505070994,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,0,4,LR,0.7365658585353662,0.8081360569715142,0.7387208725830441,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,0,4,RF,0.7178205448637841,0.7830998250874563,0.7188044831880448,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,0,6,LR,0.7625593601599601,0.8440619690154924,0.7634462151394422,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,0,6,RF,0.7223194201449638,0.7962991004497751,0.7230117177761157,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,1,4,LR,0.7295676080979755,0.7957773613193404,0.7331031080414405,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,1,4,RF,0.7055736065983504,0.7703880559720142,0.7038712921065863,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,1,6,LR,0.7483129217695577,0.8281766616691654,0.7503099429704935,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,1,6,RF,0.7183204198950263,0.7858776861569214,0.7166205682675384,15999,4001,0.500031251953247,0.49987503124218946,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,2,4,LR,0.7123219195201199,0.7785944527736132,0.7137527978114897,15999,4001,0.4999687480467529,0.5001249687578105,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,2,4,RF,0.6878280429892527,0.7544349075462269,0.6899975179945396,15999,4001,0.4999687480467529,0.5001249687578105,0.2
human_enhancers_ensembl,False,False,154842,20000,True,homology@0.7,2,6,LR,0.7380654836290927,0.8209752623688156,0.7398212512413108,15999,4001,0.4999687480467529,0.5001249687578105,0.2
